x0,x1,x2,x3,x4,x5,x6,x7,y
5,12.0,27.0,A0,A10,A29,345.0,530.0,-9.0
5,8.0,1.0,A4,A124,A21,1033.0,1124.0,-3.0
5,10.0,25.0,A2,A32,A106,1388.0,335.0,-1.0
5,8.0,5.0,A5,A40,A126,820.0,890.0,-11.0
5,10.0,6.0,A6,A118,A96,795.0,871.0,15.0
5,7.0,1.0,A1,A25,A5,1185.0,1367.0,-25.0
5,4.0,21.0,A6,A40,A52,590.0,786.0,3.0
5,3.0,30.0,A2,,A28,495.0,1007.0,-6.0
5,3.0,28.0,A0,A61,A37,755.0,815.0,6.0
5,8.0,19.0,A0,A30,A35,1130.0,1210.0,-5.0
5,10.0,29.0,A6,A33,A127,1105.0,1255.0,-2.0
5,9.0,28.0,A4,A12,A72,1150.0,1298.0,44.0
5,9.0,18.0,A3,A14,A128,1125.0,1221.0,-12.0
5,3.0,3.0,A2,A76,A79,570.0,695.0,-8.0
5,6.0,10.0,A0,A10,A57,875.0,1020.0,-4.0
5,6.0,29.0,A7,,A100,1065.0,,-16.0
5,1.0,24.0,A6,A12,A19,1069.0,1225.0,-31.0
5,4.0,4.0,A6,A5,A0,540.0,741.0,58.0
5,9.0,26.0,A0,A2,A15,540.0,625.0,-5.0
5,7.0,15.0,A8,A125,A56,855.0,915.0,-1.0
5,1.0,2.0,A8,A31,A26,720.0,,12.0
5,8.0,9.0,A3,A126,A44,562.0,658.0,-14.0
5,1.0,1.0,A13,A45,A44,1225.0,1416.0,-1351.0
5,7.0,9.0,A12,A30,A55,703.0,,-10.0
5,7.0,6.0,A6,A24,A19,833.0,944.0,-23.0
5,11.0,5.0,A3,A34,A88,1265.0,1353.0,
5,8.0,30.0,A13,A66,A111,1400.0,380.0,-5.0
5,2.0,9.0,A3,A9,A129,656.0,672.0,27.0
5,7.0,4.0,A2,,A35,600.0,691.0,7.0
5,3.0,25.0,A2,A54,A29,765.0,860.0,9.0
5,1.0,17.0,A1,A5,A74,895.0,1056.0,-28.0
5,3.0,6.0,A3,A12,A44,1045.0,1221.0,-10.0
5,6.0,24.0,A11,A53,A31,821.0,865.0,5.0
5,6.0,8.0,A0,A4,A41,585.0,645.0,0.0
5,9.0,10.0,A6,,A16,855.0,953.0,-4.0
5,4.0,28.0,A5,A61,A28,1075.0,1183.0,21.0
5,5.0,16.0,A1,A127,A28,713.0,797.0,-5.0
5,12.0,31.0,A6,A81,A9,890.0,1065.0,-19.0
5,11.0,13.0,A12,A13,A78,391.0,573.0,-26.0
