Zip,Total Population,Total Population of One Race,White,Black or African American,American Indian and Alaska Native,Total Asian,Asian Indian,Chinese,Filipino,Japanese,Korean,Vietnamese,Other Asian,Total NHOPI,Native Hawaiian,Guamanian or Chamorro,Samoan,Other Pacific Islander,Some Other Race,Total Population of Two or More Races
ZCTA5 90604,39407,37683,25098,714,501,1979,66,234,906,185,230,88,270,89,18,14,31,26,9302,1724
ZCTA5 90605,40331,38670,24171,496,465,1398,119,216,547,164,83,76,193,106,18,16,30,42,12034,1661
ZCTA5 90606,32396,31188,18956,338,469,547,17,83,247,59,25,21,95,53,18,17,13,5,10825,1208
ZCTA5 90620,45113,42643,23395,1419,384,11419,1398,947,4558,435,2282,869,930,295,48,46,105,96,5731,2470
ZCTA5 90621,35153,33491,12929,1617,472,10019,637,565,2173,193,5526,450,475,153,14,34,60,45,8301,1662
ZCTA5 90623,15554,14897,5747,796,56,7489,838,1225,1443,702,2576,298,407,48,14,8,18,8,761,657
ZCTA5 90630,47993,45616,26056,1458,292,15063,1136,2169,2805,1193,5722,939,1099,235,33,94,80,28,2512,2377
ZCTA5 90631,67619,64765,40590,1092,564,6594,480,1202,1213,426,2525,215,533,109,45,26,26,12,15816,2854
ZCTA5 90638,49012,46883,29785,1105,394,8734,534,835,2426,365,3727,319,528,145,31,30,45,39,6720,2129
ZCTA5 90640,62549,60223,33662,567,633,6841,481,2549,933,1453,586,231,608,58,12,17,22,7,18462,2326
ZCTA5 90650,105549,100980,52089,4593,1213,12700,870,908,5581,260,2610,822,1649,431,62,55,173,141,29954,4569
ZCTA5 90660,62928,60594,37403,601,871,1615,69,244,772,134,64,144,188,42,15,13,5,9,20062,2334
ZCTA5 90670,14866,14261,8805,334,209,637,45,62,243,36,121,72,58,31,4,3,14,10,4245,605
ZCTA5 90680,29945,28661,13576,714,305,6911,132,265,999,166,595,4270,484,136,25,30,56,25,7019,1284
ZCTA5 90701,16591,15995,6462,592,94,6174,1299,1029,2018,61,826,123,818,40,5,7,7,21,2633,596
ZCTA5 90703,49399,47533,11463,3428,131,30397,3778,7367,7223,1511,7240,1022,2256,130,33,49,27,21,1984,1866
ZCTA5 90704,4090,3902,2608,24,26,58,3,23,14,4,5,0,9,13,0,8,0,5,1173,188
ZCTA5 90706,76615,73040,32337,10760,731,8865,416,483,4563,195,826,453,1929,615,38,45,400,132,19732,3575
ZCTA5 90710,25457,24035,10657,3390,153,4614,238,498,1492,740,1214,153,279,222,21,19,164,18,4999,1422
ZCTA5 90712,31499,29593,17476,3399,219,4742,180,313,2469,234,105,463,978,324,40,51,186,47,3433,1906
ZCTA5 90713,27925,26293,19351,1293,170,2897,76,219,1486,230,93,295,498,195,24,54,79,38,2387,1632
ZCTA5 90715,20388,19356,7921,2187,171,5439,253,627,2535,104,973,188,759,223,29,43,137,14,3415,1032
ZCTA5 90716,14184,13630,6413,542,178,1511,49,135,296,27,743,51,210,57,15,8,28,6,4929,554
ZCTA5 90717,21318,19992,12598,1116,188,3079,278,514,677,747,467,76,320,165,26,25,91,23,2846,1326
ZCTA5 90720,21751,20669,16921,408,88,2279,120,470,465,345,603,72,204,79,16,22,37,4,894,1082
ZCTA5 90723,54099,51833,22988,6334,440,1629,113,71,731,63,100,54,497,419,14,38,318,49,20023,2266
ZCTA5 90731,59662,55710,34816,4369,721,2721,121,337,1068,494,335,94,272,352,75,48,185,44,12731,3952
ZCTA5 90732,21115,19860,15401,931,149,1727,92,169,500,508,279,41,138,43,10,8,17,8,1609,1255
ZCTA5 90740,23729,22888,19740,283,65,2306,102,449,358,442,521,259,175,55,11,11,24,9,439,841
ZCTA5 90742,831,799,738,4,6,31,4,0,6,6,6,6,3,2,0,2,0,0,18,32
ZCTA5 90743,456,441,408,0,0,17,5,3,6,0,1,0,2,3,1,2,0,0,13,15
ZCTA5 90744,53815,51114,23800,1716,588,1268,43,79,809,114,110,67,46,452,57,51,325,19,23290,2701
ZCTA5 90745,57251,54385,15234,4454,390,20397,183,297,17912,456,586,221,742,1798,90,117,1480,111,12112,2866
ZCTA5 90746,25990,24915,3405,16833,70,1980,80,124,1153,240,151,97,135,358,12,20,307,19,2269,1075
ZCTA5 90747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 90755,11074,10447,4662,1502,84,2283,97,175,543,86,78,188,1116,136,10,22,84,20,1780,627
ZCTA5 90802,39347,37014,19727,6656,384,3069,273,401,946,261,257,219,712,248,45,28,129,46,6930,2333
ZCTA5 90803,32031,30694,26407,954,163,1857,133,391,432,320,160,139,282,57,25,12,5,15,1256,1337
ZCTA5 90804,40311,37894,16345,5888,330,6169,213,339,801,257,126,328,4105,167,27,23,80,37,8995,2417
ZCTA5 90805,93524,89020,29180,19318,741,10029,208,461,2916,141,223,1202,4878,2359,67,142,1823,327,27393,4504
ZCTA5 90806,42399,40254,11518,7731,330,8410,84,167,3038,118,54,584,4365,548,17,73,417,41,11717,2145
ZCTA5 90807,31481,29584,15405,5248,203,5233,150,435,2504,367,123,412,1242,257,17,46,164,30,3238,1897
ZCTA5 90808,38232,36003,28933,1357,207,3174,158,432,1168,423,126,265,602,204,40,43,104,17,2128,2229
ZCTA5 90810,36735,34858,10065,4542,242,8781,53,53,7661,272,163,86,493,1013,31,92,810,80,10215,1877
ZCTA5 90813,58911,56139,18353,8179,560,8058,109,207,824,74,261,529,6054,410,34,34,301,41,20579,2772
ZCTA5 90814,19131,17968,12901,1452,162,1440,108,201,346,176,100,126,383,72,11,14,31,16,1941,1163
ZCTA5 90815,39733,37410,28400,1894,195,4519,441,745,1403,509,320,318,783,152,28,38,72,14,2250,2323
ZCTA5 90822,117,117,74,36,0,4,0,0,0,1,0,3,0,2,0,0,1,1,1,0
ZCTA5 90831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 91001,36126,33930,17588,9783,285,1764,130,379,436,421,116,61,221,27,8,5,7,7,4483,2196
ZCTA5 91006,31715,30664,11297,304,102,17565,692,12756,766,491,947,599,1314,17,2,1,4,10,1379,1051
ZCTA5 91007,34095,33201,10896,468,119,20159,845,15196,651,496,1103,483,1385,7,2,1,2,2,1552,894
ZCTA5 91008,1391,1351,977,25,4,280,50,136,31,11,24,8,20,0,0,0,0,0,65,40
ZCTA5 91010,26074,24892,13441,2057,205,3516,253,898,1643,120,111,136,355,30,8,3,10,9,5643,1182
ZCTA5 91011,20280,19586,13982,109,24,5220,290,1116,221,348,2937,51,257,5,1,2,0,2,246,694
ZCTA5 91016,40598,38549,24321,2631,305,4643,267,1788,1351,334,170,210,523,82,20,2,38,22,6567,2049
ZCTA5 91020,8415,8116,5309,103,30,2311,85,98,259,61,1712,15,81,12,6,2,1,3,351,299
ZCTA5 91024,10917,10446,8967,201,44,835,45,368,111,132,57,27,95,9,5,1,0,3,390,471
ZCTA5 91030,25616,24201,13922,771,104,7973,329,4022,491,793,1641,171,526,9,4,2,0,3,1422,1415
ZCTA5 91040,20372,19515,15392,272,125,1723,95,71,766,100,495,45,151,22,9,5,5,3,1981,857
ZCTA5 91042,27585,26167,20120,471,155,2586,84,114,913,102,1152,52,169,16,10,3,1,2,2819,1418
ZCTA5 91046,156,147,133,0,0,8,0,3,0,0,4,0,1,0,0,0,0,0,6,9
ZCTA5 91101,20460,19517,10826,1670,107,4496,581,1565,499,345,1068,106,332,23,13,3,6,1,2395,943
ZCTA5 91103,27480,26170,11775,5722,205,1933,93,482,632,283,211,47,185,22,5,4,2,11,6513,1310
ZCTA5 91104,36751,34770,22148,4011,264,2701,149,603,855,321,345,164,264,80,12,4,0,64,5566,1981
ZCTA5 91105,11254,10814,8454,519,33,1441,97,571,194,256,158,33,132,6,4,1,0,1,361,440
ZCTA5 91106,24229,23069,13624,1623,112,5262,559,2230,741,420,687,134,491,26,12,8,1,5,2422,1160
ZCTA5 91107,32940,31343,20165,1778,175,6423,374,2831,1280,583,439,255,661,30,9,6,7,8,2772,1597
ZCTA5 91108,13361,12938,5578,56,5,7094,157,5807,89,232,275,110,424,2,1,0,0,1,203,423
ZCTA5 91201,22781,21646,17724,303,54,2062,125,136,846,90,601,80,184,10,6,2,1,1,1493,1135
ZCTA5 91202,22830,21852,17214,321,37,3621,290,327,1152,147,1389,114,202,11,1,9,0,1,648,978
ZCTA5 91203,13220,12495,8950,193,42,2294,107,101,1274,67,552,50,143,7,5,0,0,2,1009,725
ZCTA5 91204,16032,15345,9606,321,71,2976,141,75,2006,56,460,111,127,23,11,9,2,1,2348,687
ZCTA5 91205,37810,36061,25848,552,134,5609,224,270,3707,152,709,159,388,13,4,5,0,4,3905,1749
ZCTA5 91206,33065,31501,23611,531,91,5763,365,589,2612,307,1472,84,334,34,10,5,0,19,1471,1564
